Name,Risk,Return
1,0.00053367,63.56083335
2,0.00297532,47.85853735
3,0.002082255,61.96065555
4,0.005312314,54.53722979
5,0.001503662,39.54853438
6,0.003612006,60.65008947
7,0.001626375,49.81752404
8,0.004571262,54.06001692
9,0.00070521,58.26869345
10,0.01505197,67.25462001
11,0.010692448,55.63507517
12,0.010163754,60.67266221
13,0.001397246,71.75830527
14,0.220191251,86.1024201
15,0.01206574,80.47170901
16,0.015017301,73.53597807
17,0.016027002,77.12783107
18,0.002318578,91.06394959
19,0.003629193,53.16761923
20,0.001375296,68.98728111
21,0.019343091,64.30602225
22,0.022143892,52.63312949
23,0.182479841,42.95845269
24,0.007556485,38.77366263
25,0.00277669,97.56926744
26,0.003871773,99.90532092
27,0.005000232,64.49674023
28,0.027494733,50.63256047
29,0.000294282,98.32470811
30,0.002034302,86.24077644
31,0.010029436,36.16588094
32,0.004619501,50.42069525
33,0.02225302,57.37398555
34,0.009864175,46.273593
35,0.035777548,50.19309418
36,0.013468379,38.4174329
37,0.029620195,66.96155747
38,0.004082853,72.94584836
39,0.000611276,58.11542582
40,0.002722911,70.37120865
41,0.418565873,80.24338625
42,0.098637268,56.04667481
43,0.023139615,64.66168282
44,0.001499712,66.80292234
45,0.004407616,82.02289528
46,0.033658986,85.95783569
47,0.071847441,40.50050398
48,0.004465339,67.83584851
49,0.006014251,69.7883592
50,0.006046846,55.76744712
51,0.003008585,72.01890835
52,0.009863754,89.57911501
53,0.041978155,63.84620142
54,0.003287344,83.61012098
55,0.002034176,38.99817348
56,0.263747012,90.47371799
57,0.080724622,72.17636068
58,0.003578106,73.93650402
59,0.03249786,74.19440531
60,0.010422981,59.81782643
61,0.027480369,68.22259287
62,0.002459896,77.87315346
63,0.0788057,56.917554
64,0.002741697,67.29319342
65,0.001478182,79.44207807
66,0.003675984,50.42182993
67,0.002523441,64.44483331
68,0.003600039,58.77415475
69,0.000692559,73.22625459
70,0.047609255,56.15349625
71,0.013089702,84.30150882
72,0.00350112,59.28812801
73,0.080712821,68.09697812
74,0.010838943,54.51092634
75,0.007396846,55.09491179
76,0.003727033,62.48013106
77,0.001371147,53.51261519
78,0.000485545,91.15772263
79,0.000596068,65.03314114
80,0.010297601,72.89399013
81,0.01406942,59.83480113
82,0.0005326,75.95244366
83,0.003306734,120.4568872
84,0.006192427,59.48115408
85,0.008960812,54.30303248
86,0.004265548,73.32742883
87,0.187603354,72.57235353
88,0.001749568,89.01934205
89,0.001463852,50.7128022
90,0.033817061,57.24636893
91,0.10232773,76.71603934
92,0.006992852,62.48353663
93,0.039626987,67.29522175
94,0.032828658,59.52732758
95,0.025930813,62.012784
96,0.003163889,85.28175724
97,0.312341802,77.90735223
98,0.004233337,43.75563361
99,0.001897068,55.17421416
100,0.001892159,68.1223957
101,0.028241307,72.35873375
102,0.002664771,75.79006758
103,0.002854006,63.17141693
104,0.011573224,45.68452439
105,0.000919644,61.70838261
106,0.034070402,64.99742633
107,0.015417357,68.06924206
108,0.112257976,57.56254515
109,0.001399991,53.57088508
110,0.000582264,81.94873579
111,0.019076588,64.62106166
112,0.018576427,80.62621133
113,0.036446804,57.3382064
114,0.00403697,54.88560677
115,0.041550679,67.20049211
116,0.01050432,66.12393457
117,0.088938739,80.12820813
118,0.002310902,63.60235436
119,0.001748031,68.89700718
120,0.014571841,63.58242506
121,0.026304571,104.0120678
122,0.018022205,54.14586682
123,0.019996283,52.55216128
124,0.250653944,85.84677629
125,0.000852502,88.04698075
126,0.363783027,48.93578387
127,0.006388754,66.13169774
128,0.000723717,57.87357929
129,0.0010585,79.78343622
130,0.001346851,84.05437125
131,0.006092071,68.79336459
132,0.321242529,83.87045391
133,0.001495,71.16903407
134,0.003850504,60.54128509
135,0.008308349,78.17747689
136,0.099849963,54.50713132
137,0.010667495,65.02962668
138,0.001773976,54.78109962
139,0.000673536,60.24150241
140,0.003896773,55.13280095
141,0.004252345,61.23911663
142,0.011760027,63.10683936
143,0.001359253,57.89324793
144,0.001599485,61.52902929
145,0.006851609,106.6757293
146,0.017851409,61.44296858
147,0.006408658,48.84399535
148,0.027876549,56.82457295
149,0.0126887,90.23112447
150,0.009385999,58.02239045
151,0.001011962,72.81010512
152,0.004515022,52.16223913
153,0.002125847,60.81052201
154,0.015398141,55.94514969
155,0.012454035,81.45840023
156,0.000687225,43.38235048
157,0.03548385,51.2212219
158,0.008886091,45.28053575
159,0.011210609,60.97258732
160,0.00718589,69.60380647
161,0.054441259,54.37560342
162,0.001283011,73.90382472
163,0.19514466,88.30725045
164,0.000448964,77.03956697
165,0.000772709,73.90896482
166,0.001110662,63.07677212
167,0.003825069,45.03592678
168,0.02441434,51.87451588
169,0.008310691,57.76571826
170,0.004188271,58.55847514
171,0.01270678,79.35357809
172,0.003858612,86.56122731
173,0.003505574,74.25090811
174,0.013244791,78.99262563
175,0.015217555,87.17093584
176,0.010560566,50.89157439
177,0.018690579,94.04286574
178,0.017788186,60.96605564
179,0.022950167,59.36116698
180,0.000675594,37.61453228
181,0.108392571,64.99266925
182,0.024746945,70.25256377
183,0.253162791,50.84358198
184,0.003191048,73.01485728
185,0.030079843,86.35287951
186,0.009926311,70.36828756
187,0.003477955,93.72868004
188,0.002236838,66.3988796
189,0.000185391,49.34072873
190,0.00218491,52.51685866
191,0.012800364,76.63949921
192,0.003515309,56.01746127
193,0.01790039,105.1083444
194,0.000472406,88.41602379
195,0.043947693,68.98859529
196,0.001853268,47.2309055
197,0.005590635,63.69042498
198,0.000646958,81.01363823
199,0.001628675,56.01905453
200,0.011916026,40.02182741
